witness_ID;text_ID;author
BIB588_51;BIB588;
BIB588_52;BIB588;
BIB588_53;BIB588;
BIB588_54;BIB588;
BIB588_55;BIB588;
BIB588_56;BIB588;
BIB588_57;BIB588;
BIB588_58;BIB588;
BIB588_59;BIB588;
BIB588_60;BIB588;
BIB591_1;BIB591;
BIB591_2;BIB591;
BIB591_3;BIB591;
BIB591_4;BIB591;
BIB591_5;BIB591;
BIB591_6;BIB591;
BIB591_7;BIB591;
BIB591_8;BIB591;
BIB591_9;BIB591;
BIB591_10;BIB591;
BIB591_11;BIB591;
BIB591_12;BIB591;
BIB591_13;BIB591;
BIB591_14;BIB591;
BIB591_15;BIB591;
BIB591_16;BIB591;
BIB591_17;BIB591;
BIB591_18;BIB591;
BIB591_19;BIB591;
BIB591_20;BIB591;
BIB591_21;BIB591;
BIB591_22;BIB591;
BIB591_23;BIB591;
BIB591_24;BIB591;
BIB591_25;BIB591;
BIB591_26;BIB591;
BIB591_27;BIB591;
BIB591_28;BIB591;
BIB591_29;BIB591;
BIB591_30;BIB591;
BIB591_31;BIB591;
BIB591_32;BIB591;
BIB591_33;BIB591;
BIB591_34;BIB591;
BIB591_35;BIB591;
BIB591_36;BIB591;
BIB591_37;BIB591;
BIB591_38;BIB591;
BIB591_39;BIB591;
BIB591_40;BIB591;
BIB591_41;BIB591;
BIB591_42;BIB591;
BIB591_43;BIB591;
BIB591_44;BIB591;
BIB591_45;BIB591;
BIB591_46;BIB591;
BIB591_47;BIB591;
BIB591_48;BIB591;
BIB591_49;BIB591;
BIB591_50;BIB591;
BIB591_51;BIB591;
BIB591_52;BIB591;
BIB591_53;BIB591;
BIB591_54;BIB591;
BIB591_55;BIB591;
BIB591_56;BIB591;
BIB591_57;BIB591;
BIB591_58;BIB591;
BIB591_59;BIB591;
BIB591_60;BIB591;
BIB585_1;BIB585;
BIB585_2;BIB585;
BIB585_3;BIB585;
BIB585_4;BIB585;
BIB585_5;BIB585;
BIB585_6;BIB585;
BIB585_7;BIB585;
BIB585_8;BIB585;
BIB585_9;BIB585;
BIB585_10;BIB585;
BIB585_11;BIB585;
BIB585_12;BIB585;
BIB585_13;BIB585;
BIB585_14;BIB585;
BIB585_15;BIB585;
BIB585_16;BIB585;
BIB585_17;BIB585;
BIB585_18;BIB585;
BIB585_19;BIB585;
BIB585_20;BIB585;
BIB585_21;BIB585;
BIB585_22;BIB585;
BIB585_23;BIB585;
BIB585_24;BIB585;
BIB585_25;BIB585;
BIB585_26;BIB585;
BIB585_27;BIB585;
BIB585_28;BIB585;
BIB585_29;BIB585;
BIB585_30;BIB585;
BIB585_31;BIB585;
BIB585_32;BIB585;
BIB585_33;BIB585;
BIB585_34;BIB585;
BIB585_35;BIB585;
BIB585_36;BIB585;
BIB585_37;BIB585;
BIB585_38;BIB585;
BIB585_39;BIB585;
BIB585_40;BIB585;
BIB585_41;BIB585;
BIB585_42;BIB585;
BIB585_43;BIB585;
BIB585_44;BIB585;
BIB585_45;BIB585;
BIB585_46;BIB585;
BIB585_47;BIB585;
BIB585_48;BIB585;
BIB585_49;BIB585;
BIB585_50;BIB585;
BIB585_51;BIB585;
BIB585_52;BIB585;
BIB585_53;BIB585;
BIB585_54;BIB585;
BIB585_55;BIB585;
BIB585_56;BIB585;
BIB585_57;BIB585;
BIB606_1;BIB606;
BIB606_2;BIB606;
BIB606_3;BIB606;
BIB606_4;BIB606;
BIB606_5;BIB606;
BIB606_6;BIB606;
BIB606_7;BIB606;
BIB606_8;BIB606;
BIB606_9;BIB606;
BIB606_10;BIB606;
BIB606_11;BIB606;
BIB606_12;BIB606;
BIB606_13;BIB606;
BIB606_14;BIB606;
BIB606_15;BIB606;
BIB606_16;BIB606;
BIB606_17;BIB606;
BIB606_18;BIB606;
BIB606_19;BIB606;
BIB606_20;BIB606;
BIB606_21;BIB606;
BIB606_22;BIB606;
BIB606_23;BIB606;
BIB606_24;BIB606;
BIB606_25;BIB606;
BIB606_26;BIB606;
BIB606_27;BIB606;
BIB606_28;BIB606;
BIB606_29;BIB606;
BIB606_30;BIB606;
BIB606_31;BIB606;
BIB606_32;BIB606;
BIB606_33;BIB606;
BIB606_34;BIB606;
BIB606_35;BIB606;
BIB606_36;BIB606;
BIB606_37;BIB606;
BIB606_38;BIB606;
BIB606_39;BIB606;
BIB606_40;BIB606;
BIB606_41;BIB606;
BIB606_42;BIB606;
BIB606_43;BIB606;
BIB606_44;BIB606;
BIB606_45;BIB606;
BIB606_46;BIB606;
BIB606_47;BIB606;
BIB606_48;BIB606;
BIB606_49;BIB606;
BIB606_50;BIB606;
BIB606_51;BIB606;
BIB606_52;BIB606;
BIB606_53;BIB606;
BIB606_54;BIB606;
BIB606_55;BIB606;
BIB606_56;BIB606;
BIB608_1;BIB608;
BIB608_2;BIB608;
BIB608_3;BIB608;
BIB608_4;BIB608;
BIB608_5;BIB608;
BIB608_6;BIB608;
BIB608_7;BIB608;
BIB608_8;BIB608;
BIB608_9;BIB608;
BIB608_10;BIB608;
BIB608_11;BIB608;
BIB608_12;BIB608;
BIB608_13;BIB608;
BIB608_14;BIB608;
BIB608_15;BIB608;
BIB608_16;BIB608;
BIB608_17;BIB608;
BIB608_18;BIB608;
BIB608_19;BIB608;
BIB608_20;BIB608;
BIB608_21;BIB608;
BIB608_22;BIB608;
BIB608_23;BIB608;
BIB608_24;BIB608;
BIB608_25;BIB608;
BIB608_26;BIB608;
BIB608_27;BIB608;
BIB608_28;BIB608;
BIB608_29;BIB608;
BIB608_30;BIB608;
BIB608_31;BIB608;
BIB608_32;BIB608;
BIB608_33;BIB608;
BIB608_34;BIB608;
BIB608_35;BIB608;
BIB608_36;BIB608;
BIB608_37;BIB608;
BIB608_38;BIB608;
BIB608_39;BIB608;
BIB608_40;BIB608;
BIB608_41;BIB608;
BIB608_42;BIB608;
BIB608_43;BIB608;
BIB608_44;BIB608;
BIB608_45;BIB608;
BIB608_46;BIB608;
BIB608_47;BIB608;
BIB608_48;BIB608;
BIB608_49;BIB608;
BIB608_50;BIB608;
BIB608_51;BIB608;
BIB608_52;BIB608;
BIB608_53;BIB608;
BIB608_54;BIB608;
BIB608_55;BIB608;
BIB608_56;BIB608;
BIB584_1;BIB584;
BIB584_2;BIB584;
BIB584_3;BIB584;
BIB584_4;BIB584;
BIB584_5;BIB584;
BIB584_6;BIB584;
BIB584_7;BIB584;
BIB584_8;BIB584;
BIB584_9;BIB584;
BIB584_10;BIB584;
BIB584_11;BIB584;
BIB584_12;BIB584;
BIB584_13;BIB584;
BIB584_14;BIB584;
BIB584_15;BIB584;
BIB584_16;BIB584;
BIB584_17;BIB584;
BIB584_18;BIB584;
BIB584_19;BIB584;
BIB584_20;BIB584;
BIB584_21;BIB584;
BIB584_22;BIB584;
BIB584_23;BIB584;
BIB584_24;BIB584;
BIB584_25;BIB584;
BIB584_26;BIB584;
BIB584_27;BIB584;
BIB584_28;BIB584;
BIB584_29;BIB584;
BIB584_30;BIB584;
BIB584_31;BIB584;
BIB584_32;BIB584;
BIB584_33;BIB584;
BIB584_34;BIB584;
BIB584_35;BIB584;
BIB584_36;BIB584;
BIB584_37;BIB584;
BIB584_38;BIB584;
BIB584_39;BIB584;
BIB584_40;BIB584;
BIB584_41;BIB584;
BIB584_42;BIB584;
BIB584_43;BIB584;
BIB584_44;BIB584;
BIB584_45;BIB584;
BIB584_46;BIB584;
BIB584_47;BIB584;
BIB584_48;BIB584;
BIB584_49;BIB584;
BIB584_50;BIB584;
BIB584_51;BIB584;
BIB584_52;BIB584;
BIB584_53;BIB584;
BIB584_54;BIB584;
BIB584_55;BIB584;
BIB589_1;BIB589;
BIB589_2;BIB589;
BIB589_3;BIB589;
BIB589_4;BIB589;
BIB589_5;BIB589;
BIB589_6;BIB589;
BIB589_7;BIB589;
