witness_ID;text_ID
Burgsteinfurt, Fürst zu Bentheimische Schlossbibliothek, B37;Merlijn-continuatie
Leiden, UB, Ltk. 1107;Merlijn-continuatie
Maastricht, Rijksarch. in Limburg, 167 III 10;Merlijn-continuatie
Münster, Nordrhein-westfälisches Staatsarch., Dep. Landesberg-Velen;Merlijn-continuatie
Den Haag, KB, 129 A 10;Roman van Moriaen
Brussel, KB, IV 1059;Roman van Moriaen
Londen, BL, Egert. 2323, f.1,2;Nevelingenlied
Brussel, KB, 19.581;Ogier van Denemarken
Brussel, KB, IV 109,12;Ogier van Denemarken
"Kraków, Bibl. Jagiellonska (olim Berlijn, Preuss. Staatsbibl., Germ. qu. 1895,4); Leuven, UB, z.s.";Ogier van Denemarken
"Trier, Stadtbibl., Mappe IV, Deutsche Fragm., 3; Berlijn, Staatsbibl. Preuss. Kulturbes., Germ.fol. 757,22";Parthonopeus van Bloys
"Keulen, Hist.Arch., Hss.-fragm. A 45; Leiden, UB, Ltk. 210; Brussel, KB, II 572";Parthonopeus van Bloys
"Jena, UB, Prov. f.155; Groningen, UB, 406; Keulen, Erzbisch. Diözesan- und Dombibl. [?, zoek]";Parthonopeus van Bloys
Maastricht, Rijksarch. in Limburg, 167 III 9;Parthonopeus van Bloys
Praag, Afd. Hist. hulpwetensch. en archivistiek v.d. filos. facult. v.d. Kareluniv., z.s.;Parthonopeus van Bloys
Keulen, Hist. Arch., W. 4o 322*;Parthonopeus van Bloys
Den Haag, KB, 129 A 10;Roman van Perchevael
Luik, Bibl. génér. de l'Univ., 1333;Roman van Perchevael
Düsseldorf, UB, F 23;Roman van Perchevael
Brussel, KB, II 115,2;Roman van Perchevael
Praag, Mus. Nationale Letterk., 392/21;Roman van Perchevael
Den Haag, KB, 129 A 10;Queeste van den Grale
Brussel, KB, 21.143;Queeste van den Grale
"Berlijn, Staatsbibl. Preuss. Kulturbes., Germ. fol. 751,1; 's-Gravenhage, KB, 133 L 11";Renout van Montalbaen
"Leuven, UB [verloren gegaan; geen foto]";Renout van Montalbaen
Riga, Stadsbibl.,3 [zoek];Renout van Montalbaen
Stockholm, Statens Historisk Museum, Inv. Nr. 22895: 5;Renout van Montalbaen
Boedapest, Nat. Bibl. Széchényi, Cod. germ. 50;Renout van Montalbaen
Den Haag, KB, 129 A 10;Roman van den riddere metter mouwen
Brussel, KB, IV 818;Roman van den riddere metter mouwen
Den Haag, KB, 74 C 8;Roelantslied
Brussel, KB, 21.143;Roelantslied
"Lille, Bibl. mun., z.s. [zoek; geen foto]";Roelantslied
Amsterdam, UB, I A 24l;Roelantslied
Rotterdam, Gem. bibl., 96 B 6:1;Roelantslied
Praag, Afd. Hist. hulpwetensch. en archivistiek v.d. filos. facult. v.d. Kareluniv., z.s.;Saladijn-continuatie
Berlijn, Staatsbibliotheek Preussischer Kulturbesitz, Germ. Fol. 922, f. 71-122;Seghelijn van Jherusalem
Den Bosch, Archief van het Bisdom, z.s.;Sibeli
Den Haag, KB, 129 A 10;Roman van Torec
Wenen, Österr. Nat.bibl., Ser. nova 3968;Tristan
Brussel, KB, IV 927;Seghers Trojeroman
Brussel, KB, 15.589-623;Seghers Trojeroman
Brussel, KB, IV 927;Historie van Troyen
Brussel, KB, 15.589-623;Historie van Troyen
Utrecht, UB, 1330;Historie van Troyen
"Leiden, UB, Ltk. 181, f.4, f.1-4; Berlijn, Deutsche Staatsbibl., Fragm. 18; Gent, UB, 2749,5";Historie van Troyen
"Gent, Arch. Bissch. Sem., z.s.; Rotterdam, Gem.bibl., 96 B 6:3";Historie van Troyen
