witness_ID;text_ID;author
p_°O_0120;BEdT 155,023;Enfolquetz de marsseilla.
p_°O_0121;BEdT 155,001;Enfolquetz de marseilla.
p_°O_0122;BEdT 155,006;Enfolquetz de marseilla.
p_°O_0123;BEdT 384,001;§ la tenzon de(n) sauaric edell / prebost.
p_°O_0124;BEdT 432,002;§ latenzon de gauzelm faiditz. / Eden Saueric d(e) malleo ede nuc.
p_°O_0125;BEdT 184,001;§ la tenzo del comte e den nar/naut.
p_°O_0126;BEdT 001,001;§ la tenzode naemar ede mira/ual.
p_°O_0127;BEdT 344,003a;§ la tenzo den pe/ire gullerm eden sordel.
p_°O_0128;BEdT 167a,001;§ la tenzon den Gaucelm ede / son cozin.
p_°O_0129;BEdT 052,004;§ la tenzon den ber/nart eden elias.
p_°O_0130;BEdT 436,001;§ la tenzon den symon eden / lanfranc.
p_°O_0131;BEdT 449,001;§ la tenzo den Ugo / eden bertran.
p_°O_0132;BEdT 366,017;§ la tenzon de / peirols eden gaucellin.
p_°O_0133;BEdT 366,030;§ la tenzon de peirols ede son se/ignor.
p_°O_0134;BEdT 201,005;§ la tenzon den Guillem eden nar/naut.
p_°O_0135;BEdT 252,001;§ la tenzon de domna ysabella /eden Elias cairel.
p_°O_0136;BEdT 286,001;§ la tenzon den le/mozi eden bernart del uentadorn.
p_°O_0137;BEdT 238,002;§ la tenzon den gui/zenet eden raembaut.
p_°O_0138@;BEdT 097,007;§ la tenzon den blancatz eden pe/ire uidal.
p_°O_0139@;BEdT 084,001;§ la tenzon den bertrant de gordon / ede peire raimon.
p_°O_0140;BEdT 438,001;§ la tenzos de taurel / eden falconet.
p_°O_0141;BEdT 436,003;§ la tenzos den symon / eden jacme grill.
p_°O_0142;BEdT 167,044;§ la tenzon den nuc de la bach/alaria. eden Gaucelm faiditz.
p_°O_0143;BEdT 282,014;§ la tenzo de na Guill(er)ma eden / lanfranc cigalla.
p_°O_0144;BEdT 010,006;§ la tenzon dalbert / eden aimeric.
p_°O_0145;BEdT 249a,001;§ la tenzon de / Rofin. ede domna .h.
p_°O_0146;BEdT 119,007;§ lo fils den bertran del born.
p_°Q_0001;BEdT 030,VI;Arnadus meroglus.
p_°Q_0002;BEdT 030,I;Doniare.
p_°Q_0003;BEdT 461,147;Te(n)ço(n).
p_°Q_0004;BEdT 461,027a;0
p_°Q_0005;BEdT 461,209a;0
p_°Q_0006;BEdT 461,200;Balada.
p_°Q_0007;BEdT 461,166;Balada.
p_°Q_0008;BEdT 461,073;Balada.
p_°Q_0009;BEdT 461,069;0
p_°Q_0010;BEdT 461,201;Balada.
p_°Q_0011;BEdT 194,002;Te(n)ço.
p_°Q_0012;BEdT 392,029;Te(n)ço(n).
p_°Q_0013;BEdT 075,005;Te(n)ço(n).
p_°Q_0014;BEdT 213,005;0
p_°Q_0015;BEdT 461,V;Te(n)ço(n).
p_°Q_0016;BEdT 010,019;Te(n)ço(n).
p_°Q_0017;BEdT 242,022;0
p_°Q_0018;BEdT 366,017;Te(n)ço(n).
p_°Q_0018a;BEdT 119,001;0
p_°Q_0018b;BEdT 448,001;0
p_°Q_0019;BEdT 449,004;Te(n)ço(n).
p_°Q_0020;BEdT 025,001a;Te(n)ço.
p_°Q_0021;BEdT 016,016;Te(n)çu(n).
p_°Q_0022;BEdT 366,010;Te(n)ço.
p_°Q_0023;BEdT 010,052;Aimerico d(e) pigoglana.
p_°Q_0024;BEdT 010,027;Aimirigo.
p_°Q_0025;BEdT 010,014;Aimerigo.
p_°Q_0026;BEdT 010,015;Aimerigo.
p_°Q_0027;BEdT 010,041;Aimiricus.
p_°Q_0028;BEdT 010,025;Aimiricus.
p_°Q_0029;BEdT 010,050;Aimiricus.
p_°Q_0030;BEdT 010,012;Aimiricus.
p_°Q_0031;BEdT 010,007;Aimiricus.
p_°Q_0032;BEdT 010,040;Aimiricus.
p_°Q_0033;BEdT 010,008;Aimiricus.
p_°Q_0034;BEdT 010,034;Aimiricus.
p_°Q_0035;BEdT 010,046;Aimiricus.
p_°Q_0036;BEdT 010,047;Aimiricus.
p_°Q_0037;BEdT 010,045;Aimiricus.
p_°Q_0038;BEdT 142,003;Te(n)ço.
p_°Q_0039;BEdT 155,016;Folchetl d(e) marsilia.
p_°Q_0040;BEdT 155,018;Folchetel.
p_°Q_0041;BEdT 155,001;Folchetl.
p_°Q_0042;BEdT 155,022;Folchet(us).
p_°Q_0043;BEdT 155,014;Folchet(us).
p_°Q_0044;BEdT 155,025;Folchet(us).
p_°Q_0045;BEdT 155,003;Folchet(us).
p_°Q_0046;BEdT 155,005;Folchet(us).
p_°Q_0047;BEdT 155,008;Folchet(us).
p_°Q_0048;BEdT 155,021;Folchet(us).
p_°Q_0049;BEdT 155,010;Folchet(us).
p_°Q_0050;BEdT 155,007;Folchet(us).
p_°Q_0051;BEdT 155,020;Folchet(us).
p_°Q_0052;BEdT 167,059;Folchet(us).
p_°Q_0053;BEdT 155,027;Folchet(us).
p_°Q_0054;BEdT 155,011;Folchet(us).
p_°Q_0055;BEdT 155,015;Folchet(us).
p_°Q_0056;BEdT 155,013;Folchet(us).
p_°Q_0057@;BEdT 155,006;Folchet(us).
p_°Q_0058;BEdT 155,009;Folchet(us).
p_°Q_0059;BEdT 432,002;Te(n)ço(n).
p_°Q_0059a;BEdT 366,017;0
p_°Q_0060;BEdT 461,020;0
p_°Q_0061;BEdT 070,001;Bernardo adue(n)tat.
p_°Q_0062;BEdT 070,010;Bernardo.
p_°Q_0063;BEdT 070,043;Bernardus.
p_°Q_0064;BEdT 070,041;Bernardus.
p_°Q_0065;BEdT 070,016;Beradus.
p_°Q_0066;BEdT 070,006;Bernardus.
p_°Q_0067;BEdT 070,012;Bernardus.
p_°Q_0068;BEdT 070,029;Bernardus.
p_°Q_0069;BEdT 070,042;Bernardus.
p_°Q_0070;BEdT 070,031;Bernardus.
p_°Q_0071;BEdT 070,030;Bernardus.
p_°Q_0072;BEdT 070,007;Bernardus.
p_°Q_0073;BEdT 070,019;Bernardus.
p_°Q_0074;BEdT 070,035;Bernardus.
p_°Q_0075;BEdT 070,033;Bernardus.
p_°Q_0076;BEdT 070,027;Bernardus.
p_°Q_0077;BEdT 070,025;Bernardus.
p_°Q_0078;BEdT 070,017;Bernardus.
p_°Q_0079;BEdT 070,036;Be(r)nardus.
p_°Q_0080;BEdT 167,049;Bernardus.
p_°Q_0081;BEdT 070,045;Bernardus.
p_°Q_0082;BEdT 070,026;Bernardus.
p_°Q_0083;BEdT 366,030;Te(n)ço(n).
p_°Q_0084;BEdT 238,002;Te(n)ço(n).
p_°Q_0085;BEdT 238,001a;Te(n)ço(n).
p_°Q_0086;BEdT 414,001;Te(n)ço(n).
p_°Q_0086a;BEdT 119,006;0
p_°Q_0087;BEdT 097,007;Te(n)ço(n).
p_°Q_0088;BEdT 233,005;Te(n)ço(n).
p_°Q_0089;BEdT 097,004;Te(n)ço(n).
p_°Q_0090;BEdT 194,019;Guidus duxelus.
p_°Q_0091;BEdT 194,008;Guidus duxelus.
p_°Q_0092;BEdT 194,003;Guidus.
p_°Q_0093;BEdT 194,006;Guidus.
p_°Q_0094;BEdT 194,007;Guido.
p_°Q_0094a;BEdT 461,095;0
p_°Q_0094b;BEdT 461,250;0
p_°Q_0095;BEdT 461,154;0
p_°Q_0096;BEdT 461,098;0
p_°Q_0097;BEdT 450,004;Nuc d(e) bru(n)del.
p_°Q_0098;BEdT 450,007;Nuc.
p_°Q_0099;BEdT 450,002;Nuc.
