witness_ID;text_ID
BL Harley 5280;Cath Cúla Dremne
NLI G 7 ;Cath Cúla Dremne
Bodleian Rawlinson B. 487 & 5 other MSS;Cath Finntrága
NLS Advocates 72.1.5;Cath Leithreach Ruibhe
RIA MS C i 2 and 3 other MSS;Cath Leithreach Ruibhe
UCD OFM A6 and many other MSS;Cath Maighe Léna
TCL MS 1339 (Book of Leinster);Cath Maige Mucrama
NLI G 7 ;Cath Maige Mucrama
TCL MS 1318 (Yellow Book of Lecan);Cath Maige Rath I
TCL MS 1318 (Yellow Book of Lecan);Cath Maige Rath II
TCL MS 1339 and 3 other MSS;Cath Maige Rath II
TCL MS 1319;Cath Maige Tuired I
BL Harley 5280;Cath Maige Tuired II
TCL MS 1339 (Book of Leinster);Cath Ruis na Ríg for Bóinn
TCL MS 1318 (Yellow Book of Lecan);Ces Noínden
RIA MS 23 E 29 (Book of Fermoy);Ces Noínden
BL Harley 5280;Ces Noínden
TCL MS 1339 (Book of Leinster);Ces Noínden
RIA MS C i 2;Ces Noínden
TCL MS 1337;Ces Noínden
TCL MS 1339 (Book of Leinster);Cia tréide cétna-labratar íarna genemain fo chéatóir?
TCL MS 1318 (Yellow Book of Lecan);Cia tréide cétna-labratar íarna genemain fo chéatóir?
Bodleian Rawlinson B. 502;Cia tréide cétna-labratar íarna genemain fo chéatóir?
TCL MS 1339 (Book of Leinster);Cia tréide cétna-labratar íarna genemain fo chéatóir?
RIA MS 23 P 12 (Book of Ballymote);Cia tréide cétna-labratar íarna genemain fo chéatóir?
RIA MS 23 P 2 (Book of Lecan);Cia tréda cétna-labratar íarna genemain fo chéatóir?
NLI G 7 ;Compert Con Culainn
RIA 23 N 10;Compert Con Culainn
RIA 23 E 25 (Leabha na hUidhre);Compert Con Culainn
BL Egerton 88;Compert Con Culainn
TCL 1363;Compert Con Culainn
RIA MS D iv 2;Compert Con Culainn
BL Egerton 1782;Compert Con Culainn
RIA 23 P 12;Compert Conchubhair
TCL MS 1318 (Yellow Book of Lecan);Compert Conchobair
TCL MS 1337;Compert Conchobair
RIA 23 P 2;Compert Conchobair
Bodleian Rawlinson B 512;Compert Conchobair
NLI G 7 ;Compert Conchobair
TCL 1363;Compert Conchobair
TCL 1318;Compert Conchobair
RIA 23 P 12;Compert Conchobair
RIA D iv 2;Compert Conchobair
BL Egerton 1782;Compert Conchobair
TCL 1339;Compert Conchobair
TCL 1337;Comrac Liadaine & Cuirithir
BL Harley 5280;Comrac Liadaine & Cuirithir
RIA MS 23 E 25 (Lebor na hUidre);Comthoth Lóegaire
TCD 1337;Comthoth Lóegaire
Bodleian Laud Misc 610;Conall Corc & Corco Luigde
TCL MS 1339 (Book of Leinster);Conall Corc’s Exile (Longes Chonaill Chuirc)
TCL MS 1336;Conall Corc and the Finding of Cashel
RIA MS 23 P 2 (Book of Lecan);Conall Corc Anecdotes
TCL MS 1318 (Yellow Book of Lecan);Cuislinn Brigte
RIA MS D iv 2;Cuislinn Brigte
TCL MS 1318 (Yellow Book of Lecan);How the Dagda got his magic staff
TCL MS 1339 (Book of Leinster);De chophur in dá muccida
BL Egerton 1782;De chophur in dá muccida
TCL MS 1337;De chophur in dá muccida
TCL MS 1339 (Book of Leinster);De gabáil int Shída
RIA MS D iv 2;De gabáil int Shída
TCL MS 1339 (Book of Leinster);De maccaib Conairi Máir
TCL MS 1298;De Shíl Chonairi Máir
RIA MS 23 P 12 (Book of Ballymote);De Shíl Chonairi Máir
RIA MS 23 P 2 (Book of Lecan);De Shíl Chonairi Máir
TCL MS 1339 (Book of Leinster);Do fhaillsigud Tána bó Cúailnge
RIA MS D iv 2;Do fhaillsigud Tána bó Cúailnge
BL Egerton 1782;Do fhaillsigud Tána bó Cúailnge
RIA MS 23 E 29 (Book of Fermoy);Echtra Airt meic Cuind & Tochmarc Delbcháeme
TCL MS 1318 (Yellow Book of Lecan) and 5 other MSS;Echtra Chondla al. Echtrae Chonnlai
RIA MS 23 E 25 (Lebor na hUidre);Echtra Chondla al. Echtrae Chonnlai
BL Harley 5280;Echtra Chondla al. Echtrae Chonnlai
RIA MS 23 P 12 (Book of Ballymote);Echtrae Chormaic meic Airt
TCL MS 1318 (Yellow Book of Lecan);Echtrae Chormaic meic Airt
RIA MS 23 E 29 (Book of Fermoy);Echtrae Chormaic meic Airt
TCL MS 1337;Echtrae Fergusa meic Leti
BL Harley 432;Echtrae Fergusa meic Leti
Leiden Universiteitsbib Voss lat. Q. 7;Echtra Finn I
TCL MS 1339 (Book of Leinster);Echtra Finn II
UCC Book of Lismore;Echtrae Thaidhg meic Céin
TCL MS 1339 (Book of Leinster);Echtra Láegaire meic Crimthainn go Mag Mell
UCC Book of Lismore;Echtra Láegaire meic Crimthainn go Mag Mell
RIA MS 23 P 12 (Book of Ballymote);Echtra mac nEchach Muigmedóin
TCL MS 1318 (Yellow Book of Lecan);Echtra mac nEchach Muigmedóin
RIA MS 23 O 48 (Liber Flavus Fergusiorum);Echtra mac nEchach Muigmedóin
TCL MS 1318 (Yellow Book of Lecan);Echtra Nerai
RIA MS 23 O 48 (Liber Flavus Fergusiorum);Echtra Nerai
BL Egerton 1782;Echtra Nerai
Bodleian Rawlinson B. 512;Erchoitmed ingine Gulidi
TCL MS 1339 (Book of Leinster) and 4 further MSS;Esnada Tige Buchet
Bodleian Rawlinson B. 502;Esnada Tige Buchet
Bodelian Rawlinson B. 502;Esnada Tige Buchet
