witness_ID;text_ID
BRUXELLES, Bibliothèque royale de Belgique, 14635-14637;Aye d'Avignon
PARIS, Bibliothèque nationale de France, fr. 02170;Aye d'Avignon
VENEZIA, Biblioteca nazionale Marciana, lat. cl. 11.129 (4198);Aye d'Avignon
PARIS, Bibliothèque nationale de France, fr. 12552;Baudouin de Sebourc
PARIS, Bibliothèque nationale de France, fr. 12553;Baudouin de Sebourc
BRUXELLES, Bibliothèque royale de Belgique, II 07451;Berte aus grans piés (Adenet le Roi)
BRUXELLES, Bibliothèque royale de Belgique, II 07452;Berte aus grans piés (Adenet le Roi)
PARIS, Bibliothèque de l'Arsenal, 3142;Berte aus grans piés (Adenet le Roi)
PARIS, Bibliothèque nationale de France, fr. 00778;Berte aus grans piés (Adenet le Roi)
PARIS, Bibliothèque nationale de France, fr. 01447;Berte aus grans piés (Adenet le Roi)
PARIS, Bibliothèque nationale de France, fr. 12467;Berte aus grans piés (Adenet le Roi)
PARIS, Bibliothèque nationale de France, fr. 24404;Berte aus grans piés (Adenet le Roi)
PARIS, Bibliothèque nationale de France, nouv. acq. fr. 06234;Berte aus grans piés (Adenet le Roi)
ROUEN, Bibliothèque municipale, 1142 (O. 053);Berte aus grans piés (Adenet le Roi)
OXFORD, Bodleian Library, Douce 121 (Madan 21695);Beuve d'Aigremont
PARIS, Bibliothèque de l'Arsenal, 2990;Beuve d'Aigremont
PARIS, Bibliothèque nationale de France, fr. 00775;Beuve d'Aigremont
PARIS, Bibliothèque nationale de France, fr. 25516;Beuve de Hantone (Version continentale I)
CARPENTRAS, Bibliothèque municipale (Inguimbertine), 0405;Beuve de Hantone (Version continentale I)
TORINO, Biblioteca nazionale universitaria, 1639 (L.II.14);Beuve de Hantone (Version continentale I)
PARIS, Bibliothèque nationale de France, fr. 12548;Beuve de Hantone (Version continentale II)
PARIS, Bibliothèque nationale de France, latin 7423;Beuve de Hantone (Version continentale II)
VATICANO (CITTA DEL), Biblioteca apostolica Vaticana, Reg. lat. 1632;Beuve de Hantone (Version continentale II)
CARPENTRAS, Bibliothèque municipale (Inguimbertine), 0405;Beuve de Hantone (Version continentale III)
TORINO, Biblioteca nazionale universitaria, 1639 (L.II.14);Beuve de Hantone (Version continentale III)
VENEZIA, Biblioteca nazionale Marciana, fr. 14(=XIV);Beuve de Hantone (Version continentale III)
PARIS, Bibliothèque nationale de France, fr. 01477;Beuve de Hantone (Version en prose)
PARIS, Bibliothèque nationale de France, fr. 02170;Brun de la Montagne
PARIS, Bibliothèque de l'Arsenal, 3142;Buevon de Conmarchis (Adenet le Roi)
CAMBRIDGE, Trinity College Library, 0612 (R.03.32);Chanson de Roland
CHATEAUROUX, Bibliothèque municipale, 01 (B. 225);Chanson de Roland
LONDON, British Library, Addit. 41295;Chanson de Roland
LYON, Bibliothèque municipale, 0743 (0649);Chanson de Roland
OXFORD, Bodleian Library, Digby 023 (Madan 1624);Chanson de Roland
PARIS, Bibliothèque nationale de France, fr. 00860;Chanson de Roland
PARIS, Bibliothèque nationale de France, nouv. acq. fr. 05237;Chanson de Roland
PARIS, Bibliothèque nationale de France, nouv. acq. fr. 14658;Chanson de Roland
VENEZIA, Biblioteca nazionale Marciana, fr. 04(=IV);Chanson de Roland
VENEZIA, Biblioteca nazionale Marciana, fr. 07(=VII);Chanson de Roland
LYON, Bibliothèque municipale, 0744 (0651);Chevalier au cygne (remaniement)
BRUXELLES, Bibliothèque royale de Belgique, 10391;Chevalier au cygne (remaniement)
PARIS, Bibliothèque nationale de France, fr. 00781;Chevalier au cygne, en prose
PARIS, Bibliothèque nationale de France, fr. 01637;Ciperis de Vignevaux
TORINO, Biblioteca nazionale universitaria, 1639 (L.II.14);Clarisse et Florent (en décasyllabes)
BERN, Burgerbibliothek, Cod. 320;Conquête de Jérusalem
LONDON, British Library, Addit. 36615;Conquête de Jérusalem
"OXFORD, Bodleian Library, Douce 381 ; Stafford, Staffordshire Record Office, D 641 / 1 / 2 / 84";Conquête de Jérusalem
PARIS, Bibliothèque de l'Arsenal, 3139;Conquête de Jérusalem
PARIS, Bibliothèque nationale de France, fr. 00784;Conquête de Jérusalem
PARIS, Bibliothèque nationale de France, fr. 00786;Conquête de Jérusalem
PARIS, Bibliothèque nationale de France, fr. 00795;Conquête de Jérusalem
PARIS, Bibliothèque nationale de France, fr. 01621;Conquête de Jérusalem
PARIS, Bibliothèque nationale de France, fr. 12558;Conquête de Jérusalem
PARIS, Bibliothèque nationale de France, fr. 12569;Conquête de Jérusalem
PERIGUEUX, Archives départementales de la Dordogne, 183-4;Conquête de Jérusalem
TORINO, Biblioteca nazionale universitaria, 1661 (L.III.25);Conquête de Jérusalem
PARIS, Bibliothèque nationale de France, fr. 12569;Continuation de Jérusalem
LONDON, British Library, Harley 04404;Doon de la Roche
