Musica disciplina 	30
Aureum Pater noster 	76
Commentarium magnum in De coelo Aristotelis (secundum versionem Michaelis Scoti) 	45
Brocardica 	36
Summa Codicis 	106
Summa Institutionum 	68
Lectura feudorum 	31
Barlaam et Josaphat 	100
De proprietatibus rerum 	317
Brocarda 	63
Ordo judiciarius 	33
Summa de casibus conscientiae 	512
Milleloquium sancti Augustini 	50
Lectura Digesti novi 	40
Lectura Infortiati 	63
Lectura Trium librorum 	27
Liber minoricarum decisionum 	111
Tractatus de alimentis 	59
Tractatus de duobus fratribus 	68
Tractatus de insigniis et armis 	103
Tractatus de repraesaliis 	57
Tractatus de tyranno 	37
Tractatus testimoniorum 	43
Oratio ad adolescentes (secundum versionem Leonardi Bruni) 	427
In Apocalipsin libri XII 	43
Chronica maiora 	81
Chronica minora 	80
De arte metrica 	90
De locis sanctis 	47
De natura rerum 	134
De schematibus et tropis 	100
De tabernaculo 	68
De templo Salomonis 	45
De temporibus 	93
De temporum ratione 	245
Expositio Actuum apostolorum 	103
Expositio Apocalypseos 	113
Historia ecclesiastica gentis Anglorum 	163
In Cantica canticorum allegorica expositio  	65
In Ezram et Neemiam prophetas allegorica expositio  	32
In Lucae evangelium expositio 	90
In Marci evangelium expositio  	95
In Regum librum XXX quaestiones 	44
In epistulas VII catholicas 	112
In librum beati patris Tobiae allegorica expositio  	73
In proverbia Salomonis  	90
Versus de die iudicii 	41
Vita sancti Cuthberti 	39
Modus paenitentiarum  	31
Regula sive Collectio capitularis 	35
Collectio capitularium 	25
Romuleon 	33
Summula in foro poenitentiali 	21
Expositio super septem visiones libri Apocalypsis 	60
De consideratione ad Eugenium papam 	49
Epistolae 	400
Liber de gradibus humilitatis et superbiae 	71
Sermones de diversis 	27
Sermones per annum 	30
Sermones super Cantica canticorum 	47
Carmen bene vivendi 	81
Exhortatio ad religiosos 	26
Liber de bono conscientiae 	230
Meditationes piissimae de cognitione humanae conditionis 	660
Super decretalia commentarii imperfecti 	46
Tractatus de officio missae 	81
Liber de conservatione vite humane 	53
Lilium medicinae 	78
Tractatus de crisi et de diebus criticis 	63
Chronica comitum Tolosae 	22
De temporibus et annis generalium et particularium conciliorum 	42
Flores chronicorum 	62
Imperatores Romani 	49
Reges Francorum 	50
Flores dictaminum 	44
De contemptu mundi 	38
Egregium opus (Mariale) 	51
Casus longi super V libros Decretalium 	20
Cosmographia 	53
Vita sancti Uodalrici 	72
Biblia latina cum glossa ordinaria 	4000
Distinctiones sive concordantiae historiales Veteris et Novi Testamenti 	30
Revelationes 	33
De disciplina scholarium 	136
Commentaria in Topica Ciceronis 	30
Consolatio philosophiae 	900
De divisione 	197
De syllogismo categorico libri duo 	30
De topicis differentiis 	134
In Porphyrii Isagogen commentorum editio duplex 	29
In librum Aristotelis Perihermenias commentarii editio duplex 	26
Institutio arithmetica 	150
Institutio musica 	170
Opuscula sacra 	143
Summa introductoria super officio advocationis in foro ecclesiastico 	37
Expositio orationis dominicae 	33
Pharetra 	120
Psalterium minus beatae Mariae Virginis 	28
Stimulus amoris 	500
Breviloquium 	238
Collationes de decem praeceptis 	35
Commentarius in quattuor libros Sententiarum  	50
De reductione artium ad theologiam 	34
De triplice via 	300
Itinerarium mentis in Deum 	138
Legenda sancti Francisci (maior) 	400
Legenda sancti Francisci (minor) 	43
Lignum vitae 	175
Soliloquium 	257
Tractatus de praeparatione ad missam  	111
Rhetorica novissima 	80
Liber sextus Decretalium 	50
Quadripartitus figurarum moralium 	118
Passio sancti Blasii 	56
Renotatio librorum domini Isidori 	30
Brunellus 	36
Summa de paenitentia seu de casibus conscientiae  	44
Descriptio terrae sanctae 	94
Decretorum libri XX 	160
De fide orthodoxa 	117
Carmina 	26
Sermones 	244
Dialogus miraculorum 	61
Theorica planetarum 	60
Capitula Almansoris 	40
De anima 	172
Historia ecclesiastica tripartita 	155
Institutiones 	90
Variae 	170
Expositio Psalmorum 	146
Centiloquium Hermetis (secundum versionem Stephani de Messana) 	82
